Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,,,,,,,,,,,,,
Age 0-10 All,-0.006123593,0.004150714,0.993895118,0.985842186,1.002014,-0.130005512,0.039489024,0.987083591,0.979473203,0.994753111,0.000491784,0.001071374,1.006314689,0.979626605,1.03373,-0.001594171,0.000521092,0.98969139,0.983142875,0.996284,,0.993895118,0.985842186,1.002013831,0.987083591,0.979473203,0.994753111,1.006314689,0.979626605,1.033729841,0.98969139,0.983142875,0.996283524
Age 0-10 Female,-0.00064507,0.005761463,0.999355138,0.988133432,1.010704,-0.158200448,0.054801029,0.984304435,0.973788596,0.994933833,0.00068216,0.00148278,1.00876988,0.971933068,1.047003,-0.001140513,0.000724389,0.992614076,0.983495664,1.001817,,0.999355138,0.988133432,1.010704283,0.984304435,0.973788596,0.994933833,1.00876988,0.971933068,1.047002828,0.992614076,0.983495664,1.00181703
Age 0-10 Male,-0.010077005,0.005071672,0.989973598,0.980181538,0.999863,-0.1097717,0.04825836,0.989082859,0.979771587,0.998482621,0.000601665,0.001314311,1.007731043,0.975044544,1.041513,-0.001920099,0.000636554,0.987596917,0.979620192,0.995639,,0.989973598,0.980181538,0.999863481,0.989082859,0.979771587,0.998482621,1.007731043,0.975044544,1.041513294,0.987596917,0.979620192,0.995638593
Age 11-60 All,-0.004822483,0.002239504,0.995189127,0.990830389,0.999567,-0.03105214,0.02084568,0.996899602,0.992834826,1.00098102,0.000266241,0.000752364,1.003413698,0.984651583,1.022533,-0.000455008,0.000278514,0.997046817,0.993515297,1.000591,,0.995189127,0.990830389,0.999567039,0.996899602,0.992834826,1.00098102,1.003413698,0.984651583,1.022533318,0.997046817,0.993515297,1.000590891
Age 11-60 Female,-0.004434582,0.002996978,0.995575236,0.989744293,1.001441,0.007868508,0.027691689,1.00078716,0.995370031,1.006233771,0.000354125,0.000970727,1.004543089,0.980374342,1.029308,-0.000402694,0.000372462,0.997385912,0.992664361,1.00213,,0.995575236,0.989744293,1.001440531,1.00078716,0.995370031,1.006233771,1.004543089,0.980374342,1.029307657,0.997385912,0.992664361,1.00212992
Age 11-60 Male,-0.005090503,0.002511031,0.994922432,0.990037831,0.999831,-0.05906941,0.02348115,0.994110471,0.989545783,0.998696215,0.000299653,0.001015723,1.003842924,0.978585712,1.029752,-0.000491254,0.000312385,0.996811942,0.992852728,1.000787,,0.994922432,0.990037831,0.999831132,0.994110471,0.989545783,0.998696215,1.003842924,0.978585712,1.029752021,0.996811942,0.992852728,1.000786943
Age 60+All,-0.005801753,0.003478735,0.994215045,0.987459226,1.001017,-0.005638086,0.032116634,0.99943635,0.993164798,1.005747506,0.00041156,0.001333656,1.005281868,0.972202859,1.039486,-0.000199536,0.000431567,0.998703857,0.993227887,1.00421,,0.994215045,0.987459226,1.001017084,0.99943635,0.993164798,1.005747506,1.005281868,0.972202859,1.039486384,0.998703857,0.993227887,1.004210017
Age 60+ Female,-0.004893485,0.00413442,0.995118469,0.987087147,1.003215,-0.01370197,0.0381415,0.998630741,0.991193079,1.006124214,0.000489759,0.001729324,1.006288606,0.963564003,1.050908,-0.000162621,0.000512419,0.998943522,0.992443441,1.005486,,0.995118469,0.987087147,1.003215136,0.998630741,0.991193079,1.006124214,1.006288606,0.963564003,1.050907625,0.998943522,0.992443441,1.005486176
Age 60+ Male,-0.007194052,0.00480652,0.992831763,0.983522434,1.002229,0.00693856,0.04445547,1.000694097,0.992012654,1.009451514,0.000567868,0.002006346,1.007295192,0.957847693,1.059295,-0.000255796,0.000596969,0.998338707,0.990774757,1.00596,,0.992831763,0.983522434,1.002229208,1.000694097,0.992012654,1.009451514,1.007295192,0.957847693,1.059295346,0.998338707,0.990774757,1.005960404
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,,,,,,,,,,,,,
Air Pollutant:,AQHIX,,IQR=1.5,,,NO2,,IQR=8.8,,,O3H8,,IQR=19,,,SO2,,IQR=1.2,,,,,,,,,,,,,,,
All: LAG 0,0.002039136,0.001298811,1.003063387,0.999240488,1.006901,0.000202183,0.00023272,1.001780794,0.997767751,1.00581,0.00028302,0.000143956,1.005391864,1.000016459,1.010796,0.000338432,0.001209542,1.000406201,0.997564247,1.003256,,1.003063387,0.999240488,1.006900911,1.001780794,0.997767751,1.005809978,1.005391864,1.000016459,1.010796164,1.000406201,0.997564247,1.003256251
Female,-0.001104232,0.001700651,0.998345023,0.993365842,1.003349,-0.000506227,0.000302928,0.99555511,0.990366998,1.00077,0.000239521,0.000189094,1.00456127,0.997512138,1.01166,-0.00168348,0.001586859,0.997981863,0.994264045,1.001714,,0.998345023,0.993365842,1.003349162,0.99555511,0.990366998,1.000770401,1.00456127,0.997512138,1.011660216,0.997981863,0.994264045,1.001713583
Male,0.004559765,0.001434201,1.006863091,1.00262654,1.011118,0.000783875,0.000258073,1.006921947,1.002449853,1.011414,0.000315243,0.000158749,1.006007591,1.000077807,1.011973,0.001938368,0.001333794,1.002328749,0.999189287,1.005478,,1.006863091,1.00262654,1.011117544,1.006921947,1.002449853,1.011413991,1.006007591,1.000077807,1.011972534,1.002328749,0.999189287,1.005478075
Warm All,-0.001710214,0.001328719,0.997437967,0.993549142,1.001342,-0.000825432,0.000297782,0.992762516,0.987676617,0.997875,8.15E-05,0.000127232,1.001550605,0.996816363,1.006307,0.001860352,0.0015657,1.002234916,0.998550947,1.005932,,0.997437967,0.993549142,1.001342013,0.992762516,0.987676617,0.997874604,1.0015497,0.996815462,1.006306422,1.002234916,0.998550947,1.005932477
Warm Female,-0.003983832,0.001785722,0.994042071,0.988837003,0.999275,-0.001317036,0.000400444,0.988476988,0.981673241,0.995328,-8.95E-05,0.000170865,0.998301281,0.991969244,1.004674,-0.001046075,0.002124733,0.998745498,0.993766845,1.003749,,0.994042071,0.988837003,0.999274538,0.988476988,0.981673241,0.99532789,0.998300945,0.99196891,1.004673399,0.998745498,0.993766845,1.003749092
Warm Male,7.84E-05,0.001607295,1.000117534,0.99540268,1.004855,-0.000441258,0.000360557,0.996124459,0.989948896,1.002339,0.000217829,0.000153964,1.004147327,0.998406403,1.009921,0.004083305,0.001878636,1.00491199,1.00048153,1.009362,,1.000117607,0.995402753,1.004854794,0.996124459,0.989948896,1.002338547,1.004147327,0.998406403,1.009921263,1.00491199,1.00048153,1.00936207
Cold All,0.004402718,0.002388966,1.006625932,0.999580605,1.013721,0.000426634,0.000342044,1.003761436,0.997857104,1.009701,0.000824768,0.000385722,1.01579402,1.001307158,1.03049,-0.001902064,0.001757758,0.997720126,0.99360382,1.001853,,1.006625932,0.999580605,1.013720917,1.003761436,0.997857104,1.009700704,1.01579402,1.001307158,1.030490476,0.997720126,0.99360382,1.001853486
Cold Female,-0.000397817,0.003093924,0.999403453,0.990353962,1.008536,-0.00046067,0.000441706,0.99595431,0.988395418,1.003571,0.00130778,0.000499837,1.0251591,1.006253361,1.04442,-0.003527598,0.00228598,0.995775829,0.990436283,1.001144,,0.999403453,0.990353962,1.008535634,0.99595431,0.988395418,1.00357101,1.0251591,1.006253361,1.044420044,0.995775829,0.990436283,1.001144161
Cold Male,0.008433138,0.00253938,1.012730053,1.00519739,1.020319,0.001182156,0.000364037,1.010457272,1.004132578,1.016822,0.000406596,0.000410699,1.007755241,0.992459467,1.023287,-0.000575973,0.001863924,0.999309071,0.99493774,1.0037,,1.012730053,1.00519739,1.020319164,1.010457272,1.004132578,1.016821803,1.007755241,0.992459467,1.023286754,0.999309071,0.99493774,1.003699608
Age 0-10 All,-0.000205473,0.002626499,0.999691838,0.992002039,1.007441,0.000179765,0.000479151,1.001583184,0.993339814,1.009895,-0.000204568,0.000287767,0.996120752,0.985502875,1.006853,-0.000490681,0.002492746,0.999411356,0.993569012,1.005288,,0.999691838,0.992002039,1.007441247,1.001583184,0.993339814,1.009894963,0.996120752,0.985502875,1.006853026,0.999411356,0.993569012,1.005288054
Age 0-10 Female,0.001612388,0.003772036,1.002421509,0.991366283,1.0136,0.000421178,0.000686971,1.003713243,0.991890551,1.015677,-1.76E-05,0.000413595,0.99966562,0.984386461,1.015182,0.000368781,0.003574789,1.000442635,0.992066273,1.00889,,1.002421509,0.991366283,1.013600018,1.003713243,0.991890551,1.015676855,0.999665656,0.984386497,1.015181971,1.000442635,0.992066273,1.008889722
Age 0-10 Male,-0.001548517,0.003280032,0.99767992,0.988105239,1.007347,-2.47E-07,0.000599134,0.999997828,0.989717198,1.010385,-0.000341925,0.000359186,0.993524482,0.980323498,1.006903,-0.001116773,0.003116691,0.99866077,0.991366896,1.006008,,0.99767992,0.988105239,1.007347379,0.999997826,0.989717196,1.010385246,0.993524482,0.980323498,1.00690323,0.99866077,0.991366896,1.006008308
Age 11-60 All,0.00264296,0.001423759,1.003972309,0.999778613,1.008184,0.00026775,0.000254903,1.002358978,0.997961713,1.006776,0.000360153,0.000157878,1.006866373,1.000963995,1.012804,0.000927133,0.001319076,1.001113179,0.998012071,1.004224,,1.003972309,0.999778613,1.008183596,1.002358978,0.997961713,1.006775618,1.006866373,1.000963995,1.012803556,1.001113179,0.998012071,1.004223922
Age 11-60 Female,-0.001079867,0.001977292,0.998381511,0.992594518,1.004202,-0.000541904,0.000351437,0.995242597,0.989228096,1.001294,0.0002827,0.000220027,1.005385751,0.997181474,1.013658,-0.001310282,0.001837269,0.998428897,0.994123738,1.002753,,0.998381511,0.992594518,1.004202243,0.995242597,0.989228096,1.001293666,1.005385751,0.997181474,1.013657529,0.998428897,0.994123738,1.0027527
Age 11-60 Male,0.005186379,0.001589387,1.007809908,1.003111602,1.01253,0.000835433,0.000285886,1.007378901,1.002423781,1.012359,0.000410848,0.000176017,1.007836659,1.001252022,1.014465,0.002428593,0.001469787,1.002918562,0.99945752,1.006392,,1.007809908,1.003111602,1.01253022,1.007378901,1.002423781,1.012358515,1.007836659,1.001252022,1.014464599,1.002918562,0.99945752,1.00639159
Age 60+All,0.001139762,0.002306512,1.001711105,0.994941336,1.008527,-4.72E-05,0.000409845,0.999584315,0.992543163,1.006675,0.000317802,0.000257105,1.006056505,0.996469893,1.015735,-0.001443322,0.002161707,0.998269513,0.993206857,1.003358,,1.001711105,0.994941336,1.008526937,0.999584726,0.992543572,1.006675831,1.006056505,0.996469893,1.015735345,0.998269513,0.993206857,1.003357974
Age 60+ Female,-0.002501803,0.002754643,0.996254328,0.988218596,1.004355,-0.000839268,0.000488805,0.992641648,0.984307956,1.001046,0.000249538,0.000307637,1.004752479,0.993307317,1.01633,-0.003598391,0.002580411,0.99569124,0.989666565,1.001753,,0.996254328,0.988218596,1.004355403,0.992641648,0.984307956,1.001045897,1.004752479,0.993307317,1.016329517,0.99569124,0.989666565,1.001752591
Age 60+ Male,0.006702425,0.003209463,1.010104345,1.000618007,1.019681,0.001169425,0.000571191,1.010344074,1.000439134,1.020347,0.000421434,0.000357137,1.00803939,0.994721445,1.021536,0.001869525,0.003011433,1.002245948,0.995172231,1.00937,,1.010104345,1.000618007,1.019680618,1.010344074,1.000439134,1.020347078,1.00803939,0.994721445,1.021535643,1.002245948,0.995172231,1.009369946
All: LAG 1,0.002864825,0.001335738,1.004306484,1.000370236,1.008258,0.000330017,0.0002388,1.002908371,0.998786065,1.007048,0.000353696,0.000148903,1.006742855,1.001175767,1.012341,0.001058684,0.001256268,1.001271228,0.998317096,1.004234,,1.004306484,1.000370236,1.00825822,1.002908371,0.998786065,1.007047691,1.006742855,1.001175767,1.0123409,1.001271228,0.998317096,1.004234102
Female,0.000886694,0.001714906,1.001330926,0.996295098,1.006392,-0.000273123,0.000304999,0.997599404,0.992365189,1.002861,0.000482312,0.000191572,1.009206045,1.002031848,1.016432,0.000159253,0.001617262,1.000191122,0.996393821,1.004003,,1.001330926,0.996295098,1.006392208,0.997599404,0.992365189,1.002861226,1.009206045,1.002031848,1.016431607,1.000191122,0.996393821,1.004002894
Male,0.004438995,0.001480592,1.00668071,1.002308212,1.011072,0.000824902,0.000265599,1.007285549,1.002681675,1.011911,0.00024651,0.000164853,1.004694676,0.998545623,1.010882,0.0017593,0.001389254,1.00211339,0.998844303,1.005393,,1.00668071,1.002308212,1.011072282,1.007285549,1.002681675,1.011910562,1.004694676,0.998545623,1.010881594,1.00211339,0.998844303,1.005393177
Warm All,-0.000208006,0.001457836,0.99968804,0.995412508,1.003982,-0.000301199,0.00032535,0.997352958,0.99177185,1.002965,0.00010464,0.000140248,1.001990138,0.99677055,1.007237,-0.000714675,0.001715153,0.999142758,0.995120295,1.003181,,0.99968804,0.995412508,1.003981936,0.997352958,0.99177185,1.002965474,1.001990138,0.99677055,1.007237057,0.999142758,0.995120295,1.00318148
Warm Female,-0.002007457,0.001866368,0.996993344,0.991537701,1.002479,-0.001096169,0.000416588,0.990400089,0.983309263,0.997542,0.000156701,0.00017923,1.002981756,0.99630962,1.009699,-0.003832129,0.002211601,0.995412002,0.990247626,1.000603,,0.996993344,0.991537701,1.002479004,0.990400089,0.983309263,0.997542048,1.002981756,0.99630962,1.009698573,0.995412002,0.990247626,1.000603313
Warm Male,0.001206678,0.001730546,1.001811656,0.996727578,1.006922,0.000324805,0.000385804,1.002862373,0.996211133,1.009558,6.16E-05,0.000166792,1.001170682,0.994971349,1.007409,0.001679096,0.002023651,1.002016947,0.997259051,1.006798,,1.001811656,0.996727578,1.006921667,1.002862373,0.996211133,1.00955802,1.001171085,0.99497175,1.007409046,1.002016947,0.997259051,1.006797541
Cold All,0.004199015,0.002382263,1.0063184,0.999294918,1.013391,0.000311164,0.00034085,1.002741996,0.996864189,1.008654,0.001110613,0.000388077,1.021325861,1.006671818,1.036193,0.000780992,0.001781272,1.00093763,0.996752922,1.00514,,1.0063184,0.999294918,1.013391246,1.002741996,0.996864189,1.008654459,1.021325861,1.006671818,1.036193222,1.00093763,0.996752922,1.005139906
Cold Female,0.001575567,0.003067084,1.002366145,0.993368212,1.011446,-0.000209924,0.000437747,0.998154374,0.990646428,1.005719,0.001504621,0.000500452,1.029000352,1.010000642,1.048357,0.001107728,0.002306852,1.001330157,0.995911937,1.006778,,1.002366145,0.993368212,1.011445583,0.998154374,0.990646428,1.005719222,1.029000352,1.010000642,1.048357477,1.001330157,0.995911937,1.006777856
Cold Male,0.006376198,0.002556371,1.009610181,1.002050666,1.017227,0.000751973,0.000366284,1.006639306,1.000299741,1.013019,0.000769917,0.000416456,1.014735942,0.999119989,1.030596,0.000502126,0.001901797,1.000602733,0.996137005,1.005088,,1.009610181,1.002050666,1.017226725,1.006639306,1.000299741,1.013019048,1.014735942,0.999119989,1.030595968,1.000602733,0.996137005,1.00508848
Age 0-10 All,0.002904465,0.002722933,1.004366202,0.996357923,1.012439,0.000594023,0.000494396,1.005241089,0.996705499,1.01385,0.000121887,0.00030034,1.002318537,0.991170403,1.013592,0.000819881,0.002600248,1.000984341,0.99488122,1.007125,,1.004366202,0.996357923,1.012438847,1.005241089,0.996705499,1.013849776,1.002318537,0.991170403,1.013592058,1.000984341,0.99488122,1.007124903
Age 0-10 Female,0.003910683,0.003828639,1.005883263,0.994624327,1.01727,0.000588518,0.000694017,1.005192392,0.993231563,1.017297,0.000354497,0.000422821,1.006758177,0.991030061,1.022736,0.001586199,0.003662012,1.001905251,0.993312846,1.010572,,1.005883263,0.994624327,1.017269649,1.005192392,0.993231563,1.017297258,1.006758177,0.991030061,1.022735906,1.001905251,0.993312846,1.010571984
Age 0-10 Male,0.002166915,0.003356439,1.003255661,0.99340429,1.013205,0.000596527,0.000610169,1.00526324,0.99473913,1.015899,-4.64E-05,0.000369839,0.99911838,0.985452046,1.012974,0.000247798,0.003200223,1.000297402,0.992796504,1.007855,,1.003255661,0.99340429,1.013204726,1.00526324,0.99473913,1.015898693,0.999118788,0.985452449,1.012974654,1.000297402,0.992796504,1.007854972
Age 11-60 All,0.004154993,0.001442333,1.006251952,1.001994016,1.010528,0.000531332,0.00025768,1.00468667,1.000231284,1.009162,0.000460202,0.00016092,1.008782177,1.002754965,1.014846,0.001514713,0.001350064,1.001819309,0.998643226,1.005005,,1.006251952,1.001994016,1.010527982,1.00468667,1.000231284,1.009161902,1.008782177,1.002754965,1.014845616,1.001819309,0.998643226,1.005005492
Age 11-60 Female,0.002151181,0.001977178,1.003231983,0.997417209,1.009081,-0.000119842,0.000351049,0.998945946,0.99291571,1.005013,0.000630979,0.000221062,1.012060752,1.003763316,1.020427,0.000600284,0.001857696,1.0007206,0.996357689,1.005103,,1.003231983,0.997417209,1.009080656,0.998945946,0.99291571,1.005012806,1.012060752,1.003763316,1.020426778,1.0007206,0.996357689,1.005102616
Age 11-60 Male,0.005510139,0.001619494,1.00829946,1.003510042,1.013112,0.000988374,0.000290345,1.008735626,1.003696636,1.0138,0.000338817,0.000180489,1.006458288,0.999716153,1.013246,0.00211576,0.001511079,1.002542138,0.998985369,1.006112,,1.00829946,1.003510042,1.013111736,1.008735626,1.003696636,1.013799914,1.006458288,0.999716153,1.013245893,1.002542138,0.998985369,1.00611157
Age 60+All,-0.001987129,0.00232646,0.997023744,0.990227578,1.003867,-0.000579443,0.000412868,0.99491388,0.987854118,1.002024,0.000109192,0.000260588,1.002076802,0.992399383,1.011849,-0.000602316,0.002206586,0.999277482,0.994104776,1.004477,,0.997023744,0.990227578,1.003866555,0.99491388,0.987854118,1.002024095,1.002076802,0.992399383,1.01184859,0.999277482,0.994104776,1.004477103
Age 60+ Female,-0.003695149,0.002773624,0.994472609,0.986396201,1.002615,-0.001040983,0.000491439,0.990881181,0.982517631,0.999316,0.000169532,0.00031114,1.003226301,0.99166915,1.014918,-0.001637558,0.002624837,0.99803686,0.991894343,1.004217,,0.994472609,0.986396201,1.002615145,0.990881181,0.982517631,0.999315924,1.003226301,0.99166915,1.014918143,0.99803686,0.991894343,1.004217415
Age 60+ Male,0.000633682,0.003218509,1.000950975,0.99152423,1.010467,0.000132113,0.000572508,1.00116327,0.991325816,1.011098,1.95E-05,0.000359726,1.000369666,0.98705788,1.013861,0.000992994,0.00306316,1.001192303,0.994005082,1.008431,,1.000950975,0.99152423,1.010467343,1.00116327,0.991325816,1.011098347,1.000370569,0.987058771,1.013861894,1.001192303,0.994005082,1.008431492
All: LAG 2,0.00433976,0.001360949,1.006530874,1.002511599,1.010566,0.000739191,0.000242875,1.006526083,1.002318456,1.010751,3.00E-04,0.000152193,1.005710945,1.000027032,1.011427,0.001739101,0.001273738,1.0020891,0.999091502,1.005096,,1.006530874,1.002511599,1.010566263,1.006526083,1.002318456,1.010751374,1.005716276,1.000032333,1.011432525,1.0020891,0.999091502,1.005095692
Female,0.002603118,0.001721474,1.00391231,0.998844212,1.009006,0.00040789,0.000305747,1.003595882,0.998317325,1.008902,0.000213797,0.000192968,1.004070405,0.996880889,1.011312,0.001776276,0.001612363,1.002133805,0.998340632,1.005941,,1.00391231,0.998844212,1.009006124,1.003595882,0.998317325,1.008902349,1.004070405,0.996880889,1.011311771,1.002133805,0.998340632,1.005941389
Male,0.005749446,0.001518447,1.008661464,1.004168599,1.013174,0.001012944,0.000272027,1.008953754,1.004230911,1.013699,0.00036859,0.000169442,1.00702779,1.00069343,1.013402,0.001704219,0.001420006,1.002047155,0.998706047,1.005399,,1.008661464,1.004168599,1.013174431,1.008953754,1.004230911,1.013698809,1.00702779,1.00069343,1.013402246,1.002047155,0.998706047,1.005399442
Warm All,0.000947448,0.001549044,1.001422182,0.996871885,1.005993,0.000225712,0.000343101,1.00198824,0.996076178,1.007935,6.06E-05,0.000150243,1.00115178,0.995565927,1.006769,0.000631456,0.001805505,1.000758034,0.996517278,1.005017,,1.001422182,0.996871885,1.005993249,1.00198824,0.996076178,1.007935391,1.001152063,0.995566209,1.006769258,1.000758034,0.996517278,1.005016837
Warm Female,-0.001575933,0.001900964,0.997638892,0.992078806,1.00323,-0.00030972,0.000421533,0.997278175,0.990053658,1.004555,-0.000129029,0.000184064,0.997551452,0.990737073,1.004413,-0.002242963,0.002229825,0.997312063,0.992095304,1.002556,,0.997638892,0.992078806,1.00323014,0.997278175,0.990053658,1.00455541,0.997551452,0.990737073,1.0044127,0.997312063,0.992095304,1.002556254
Warm Male,0.002965846,0.001835478,1.004458679,0.999052912,1.009894,0.000652451,0.000406193,1.005758083,0.998736351,1.012829,0.000213137,0.000178319,1.004057814,0.997412357,1.010748,0.002879564,0.002128657,1.003461454,0.998450078,1.008498,,1.004458679,0.999052912,1.009893696,1.005758083,0.998736351,1.012829182,1.004057814,0.997412357,1.010747547,1.003461454,0.998450078,1.008497983
Cold All,0.007712042,0.002420097,1.011635232,1.004462907,1.018859,0.000836533,0.000345468,1.007388653,1.001403843,1.013409,0.001127754,0.000392321,1.02165854,1.006840583,1.036695,0.001783094,0.001797592,1.002142004,0.997913955,1.006388,,1.011635232,1.004462907,1.01885877,1.007388653,1.001403843,1.01340923,1.02165854,1.006840583,1.036694577,1.002142004,0.997913955,1.006387966
Cold Female,0.006652103,0.003109024,1.010028102,1.000837975,1.019303,0.000570461,0.000442983,1.005032678,0.997382917,1.012741,0.001463538,0.000504498,1.028197451,1.009060517,1.047697,0.003453952,0.002317347,1.004153344,0.998695194,1.009641,,1.010028102,1.000837975,1.019302617,1.005032678,0.997382917,1.012741113,1.028197451,1.009060517,1.04769732,1.004153344,0.998695194,1.009641324
Cold Male,0.008585439,0.00260109,1.012961439,1.005244659,1.020737,0.001061874,0.000371585,1.009388287,1.002939706,1.015878,0.000838574,0.000421248,1.016060512,1.000245661,1.032125,0.000379148,0.001923615,1.000455081,0.995938904,1.004992,,1.012961439,1.005244659,1.020737457,1.009388287,1.002939706,1.015878331,1.016060512,1.000245661,1.032125411,1.000455081,0.995938904,1.004991737
Age 0-10 All,0.004028944,0.00274113,1.006061714,0.997986524,1.014202,0.000779223,0.000496682,1.006880727,0.998291852,1.015543,0.00021004,0.000303894,1.003998734,0.992700519,1.015426,0.000433209,0.002618592,1.000519986,0.994376792,1.006701,,1.006061714,0.997986524,1.014202245,1.006880727,0.998291852,1.015543496,1.003998734,0.992700519,1.015425537,1.000519986,0.994376792,1.006701132
Age 0-10 Female,0.001008556,0.003843268,1.001513979,0.990261357,1.012894,0.00053139,0.000695356,1.004687183,0.992709438,1.016809,-0.000266043,0.000426329,0.994957937,0.97928623,1.01088,-0.004144636,0.003670226,0.995038784,0.986486208,1.003666,,1.001513979,0.990261357,1.012894468,1.004687183,0.992709438,1.016809448,0.994957937,0.97928623,1.010880441,0.995038784,0.986486208,1.00366551
Age 0-10 Male,0.006183282,0.003364762,1.009318068,0.999382713,1.019352,0.000954173,0.000610439,1.008432074,0.997870142,1.019106,0.000551037,0.000372765,1.010524702,0.996593749,1.02465,0.003723092,0.00321337,1.004477705,0.996914634,1.012098,,1.009318068,0.999382713,1.019352196,1.008432074,0.997870142,1.019105798,1.010524702,0.996593749,1.02465039,1.004477705,0.996914634,1.012098154
Age 11-60 All,0.005221474,0.001469018,1.007862963,1.003519477,1.012225,0.000873778,0.00026194,1.007718885,1.003176339,1.012282,0.000373541,0.000164368,1.007122524,1.000976691,1.013306,0.001500511,0.001368927,1.001802235,0.998581903,1.005033,,1.007862963,1.003519477,1.012225249,1.007718885,1.003176339,1.012281999,1.007122524,1.000976691,1.013306092,1.001802235,0.998581903,1.005032952
Age 11-60 Female,0.004108549,0.001981281,1.006181853,1.000337914,1.01206,0.000622629,0.000351125,1.005494173,0.999423098,1.011602,0.000354547,0.000222323,1.006759134,0.998458274,1.015129,0.00272986,0.001848267,1.003281203,0.998929282,1.007652,,1.006181853,1.000337914,1.012059931,1.005494173,0.999423098,1.011602128,1.006759134,0.998458274,1.015129004,1.003281203,0.998929282,1.007652085
Age 11-60 Male,0.00598454,0.00165894,1.009017222,1.004107941,1.013951,0.00104983,0.000297044,1.009281311,1.004123568,1.014466,0.000386306,0.000185153,1.007366816,1.000444815,1.014337,0.000630296,0.001543635,1.000756641,0.997129852,1.004397,,1.009017222,1.004107941,1.013950506,1.009281311,1.004123568,1.014465547,1.007366816,1.000444815,1.014336711,1.000756641,0.997129852,1.004396622
Age 60+All,0.001240974,0.002328809,1.001863195,0.995027168,1.008746,0.000213327,0.000412956,1.001879041,0.994768346,1.009041,8.36E-05,0.000261116,1.001590399,0.991898174,1.011377,0.003449777,0.002185222,1.004148313,0.99900059,1.009323,,1.001863195,0.995027168,1.008746186,1.001879041,0.994768346,1.009040564,1.001589662,0.991897444,1.011376587,1.004148313,0.99900059,1.009322561
Age 60+ Female,-0.000551107,0.002775154,0.999173681,0.991054637,1.007359,-0.000203479,0.000491672,0.998210987,0.989781592,1.006712,7.82E-05,0.000311654,1.001487848,0.989931775,1.013179,0.001908821,0.002602452,1.002293211,0.996176945,1.008447,,0.999173681,0.991054637,1.007359239,0.998210987,0.989781592,1.00671217,1.001486904,0.989930842,1.013177868,1.002293211,0.996176945,1.008447029
Age 60+ Male,0.003967553,0.003223375,1.005969074,0.996480814,1.015548,0.000850577,0.000572291,1.007513161,0.997617046,1.017507,9.18E-05,0.000360588,1.001745773,0.988383948,1.015288,0.005813941,0.003028226,1.007001123,0.999854352,1.014199,,1.005969074,0.996480814,1.015547679,1.007513161,0.997617046,1.017507442,1.001745722,0.988383897,1.015288184,1.007001123,0.999854352,1.014198978
All: LAG 3,0.004015733,0.00138794,1.006041778,1.001944945,1.010155,6.70E-04,0.000248266,1.00591747,1.001619248,1.010234,2.92E-04,0.000154939,1.005572054,0.999786682,1.011391,0.0009377,0.001292303,1.001125873,0.998087574,1.004173,,1.006041778,1.001944945,1.010155362,1.005913416,1.001615211,1.010230065,1.005563419,0.999778096,1.011382218,1.001125873,0.998087574,1.004173421
Female,0.003181588,0.001740422,1.004783788,0.999655601,1.009938,4.37E-04,0.000309841,1.003851891,0.998501478,1.009231,0.000322268,0.000194806,1.006141876,0.998869156,1.013468,0.001566969,0.001619744,1.001882132,0.998072585,1.005706,,1.004783788,0.999655601,1.009938283,1.003853004,0.998502585,1.009232093,1.006141876,0.998869156,1.013467549,1.001882132,0.998072585,1.005706219
Male,0.004692613,0.001546691,1.007063751,1.002494755,1.011654,0.000863813,0.000277694,1.00763052,1.002815845,1.012468,0.000268155,0.000172247,1.005107946,0.998681337,1.011576,0.00041917,0.001440097,1.000503131,0.997120051,1.003898,,1.007063751,1.002494755,1.011653571,1.00763052,1.002815845,1.01246831,1.005107946,0.998681337,1.011575912,1.000503131,0.997120051,1.003897688
Warm All,0.001540855,0.001616411,1.002313956,0.997562011,1.007089,0.000371516,0.000358538,1.003274691,0.997089521,1.009498,9.46E-05,0.000157015,1.001799612,0.995958943,1.007675,0.001878221,0.00187685,1.002256407,0.997841846,1.00669,,1.002313956,0.997562011,1.007088536,1.003274691,0.997089521,1.009498229,1.001799016,0.995958351,1.007673933,1.002256407,0.997841846,1.006690498
Warm Female,-0.00038562,0.001943816,0.999421737,0.993726512,1.00515,-1.33E-04,0.000431474,0.998829318,0.991423558,1.00629,-5.41E-06,0.00018857,0.999897205,0.992900177,1.006944,0.001043042,0.002263898,1.001252434,0.995935246,1.006598,,0.999421737,0.993726512,1.005149603,0.998830285,0.991424517,1.006291372,0.999897215,0.992900187,1.006943552,1.001252434,0.995935246,1.00659801
